datetime,ZEMAH,MEROM GOLAN PICMAN,TAVOR KADOORIE,JERUSALEM GIVAT RAM,GILGAL,YOTVATA,HAIFA TECHNION,BESOR FARM,BEER SHEVA UNI,ELAT,EN HASHOFET,DOROT,NEGBA,BET DAGAN RAD,ZOVA,EDEN FARM,GAMLA,TEL YOSEF,ASHALIM,YAVNEEL,SHANI,ARAD,HAZEVA,HAIFA UNIVERSITY,SEDOM
2026-01-01 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,
2026-01-01 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,
2026-01-01 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,
2026-01-01 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,
2026-01-01 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,,0.0,0.0,0.0,0.0,,0.0,0.33,0.0,0.0,0.0,,,,,,
2026-01-01 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.17,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,,,,,
2026-01-01 06:00,0.0,0.33,0.17,1.17,1.5,1.5,1.0,1.0,,1.67,0.5,1.5,2.0,,0.5,1.0,0.5,0.17,1.33,,,,,,
2026-01-01 07:00,3.67,9.83,23.67,27.83,27.33,55.0,18.67,54.83,133.0,72.5,34.0,50.0,56.83,,30.83,11.17,6.0,27.33,53.0,,,,,,
2026-01-01 08:00,21.83,32.83,70.17,245.33,68.67,192.5,15.5,212.67,217.33,168.67,105.83,264.0,276.83,18.75,249.33,42.67,23.17,68.5,210.67,,,,,,
2026-01-01 09:00,16.5,17.67,52.33,409.0,109.5,202.17,48.0,429.83,417.33,317.83,71.67,433.83,480.33,136.33,429.67,79.83,21.83,73.17,289.33,,,,,,
2026-01-01 10:00,54.33,31.5,223.17,563.0,46.5,249.83,151.0,559.5,559.83,244.67,136.5,527.67,582.17,274.33,533.33,47.33,60.17,192.17,547.83,,,,,,
2026-01-01 11:00,67.83,38.33,202.67,636.83,100.33,212.17,152.0,600.5,570.17,219.0,153.33,605.5,559.33,292.83,554.67,42.0,88.5,89.33,648.0,,,,,,
2026-01-01 12:00,66.5,27.33,150.17,434.5,284.33,199.17,133.5,429.67,427.5,254.0,108.17,405.0,510.83,443.33,424.0,38.5,56.83,41.33,476.33,,,,,,
2026-01-01 13:00,46.67,93.17,73.67,460.67,445.83,277.5,92.17,430.17,391.83,240.17,70.0,453.0,559.0,399.33,388.17,75.67,41.17,67.67,387.17,,,,,,
2026-01-01 14:00,32.67,51.33,31.33,269.0,156.67,340.5,132.83,310.33,315.67,283.33,41.33,387.67,356.33,115.83,242.5,112.5,42.83,33.33,310.0,,,,,,
2026-01-01 15:00,21.83,27.67,50.17,160.83,130.17,123.17,67.83,173.83,173.5,107.83,50.0,174.5,194.5,69.33,81.5,20.5,30.83,18.83,157.33,,,,,,
2026-01-01 16:00,6.33,3.83,5.0,27.0,23.33,24.33,4.5,32.17,32.0,10.83,15.17,26.33,27.67,3.17,23.67,7.5,12.83,9.5,38.67,,,,,,
2026-01-01 17:00,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.17,1.5,0.0,0.0,0.0,0.33,0.17,0.0,2.17,0.0,0.5,0.0,,,,,,
2026-01-01 18:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.0,0.17,0.0,,,,,,
2026-01-01 19:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.17,0.0,0.0,1.83,,1.5,0.0,,,,,,
2026-01-01 20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.83,0.0,0.5,0.0,,,,,,
2026-01-01 21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,,0.0,0.0,0.0,0.17,0.0,0.0,1.5,0.0,0.0,0.0,,,,,,
2026-01-01 22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,,0.0,0.0,0.0,0.33,0.0,0.0,1.83,0.0,0.33,0.0,,,,,,
2026-01-01 23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,,0.0,0.67,0.0,0.83,0.0,0.0,1.67,0.0,0.17,0.0,,,,,,
2026-01-02 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.83,0.0,0.0,1.5,0.0,0.0,0.0,,,,,,
2026-01-02 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.5,0.0,0.0,0.0,,,,,,
2026-01-02 02:00,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.17,0.0,0.0,0.0,,,,,,
2026-01-02 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.5,0.0,0.0,0.0,,,,,,
2026-01-02 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.5,0.0,0.0,0.0,,,,,,
2026-01-02 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,
2026-01-02 06:00,0.17,0.83,0.67,1.33,0.17,1.17,0.17,0.67,,2.17,0.33,0.17,1.17,0.17,0.0,2.17,0.83,0.67,0.33,,,,,,
2026-01-02 07:00,16.5,83.33,22.17,14.0,8.17,77.5,36.0,7.83,,81.17,29.5,9.33,8.0,17.67,9.17,16.67,41.5,12.33,9.33,,,,,,
2026-01-02 08:00,135.5,273.5,106.5,69.0,35.33,261.0,198.83,30.17,,261.83,137.83,27.33,43.67,67.83,64.83,69.17,216.33,104.5,29.0,,,,,,
2026-01-02 09:00,183.17,368.5,355.33,166.83,119.17,427.17,423.0,100.0,,435.5,378.83,70.0,84.33,128.83,135.0,104.67,386.17,261.0,51.83,,,,,,
2026-01-02 10:00,433.83,319.83,563.67,114.0,146.83,561.17,529.67,208.0,,564.5,545.83,128.67,147.83,121.0,158.5,177.0,538.83,484.5,122.17,,,,,,
2026-01-02 11:00,395.83,221.5,626.83,168.33,295.0,565.5,319.17,274.83,194.0,632.83,642.5,312.67,154.67,209.33,140.5,216.0,609.83,452.5,293.17,,,,,,
2026-01-02 12:00,592.83,272.5,475.17,205.5,297.83,319.83,187.17,406.67,332.75,611.67,561.17,167.5,314.0,229.33,188.17,550.17,404.5,598.33,248.83,,,,,,
