datetime,ZEMAH,MEROM GOLAN PICMAN,TAVOR KADOORIE,JERUSALEM GIVAT RAM,GILGAL,YOTVATA,HAIFA TECHNION,BESOR FARM,BEER SHEVA UNI,ELAT,EN HASHOFET,DOROT,NEGBA,BET DAGAN RAD,ZOVA,EDEN FARM,GAMLA,TEL YOSEF,ASHALIM
2024-01-01 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2024-01-01 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2024-01-01 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2024-01-01 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2024-01-01 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2024-01-01 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2024-01-01 06:00,0.67,1.17,0.67,1.5,1.0,1.83,0.67,1.33,0.0,1.83,0.67,1.17,0.83,1.33,1.0,1.5,,1.0,1.67
2024-01-01 07:00,62.67,91.0,37.17,76.5,49.83,84.83,50.0,44.17,121.67,90.83,63.5,72.17,75.5,64.5,63.33,60.0,,56.83,78.83
2024-01-01 08:00,219.0,268.5,192.17,246.67,110.83,268.17,218.83,213.67,255.83,277.83,224.83,241.17,231.83,212.33,243.83,199.33,,204.33,261.83
2024-01-01 09:00,374.5,412.17,357.33,408.83,256.0,438.0,377.83,403.83,417.67,450.17,382.83,405.83,348.5,387.83,393.67,290.5,,359.5,430.83
2024-01-01 10:00,496.0,527.33,479.67,523.17,460.0,562.17,491.67,518.5,538.0,573.33,499.83,518.17,,502.17,504.5,393.0,,479.67,556.33
2024-01-01 11:00,555.0,535.5,539.33,582.33,516.67,624.0,548.67,552.5,600.33,635.5,561.0,576.17,,553.17,565.17,472.83,,539.83,610.33
2024-01-01 12:00,543.67,401.33,527.33,581.33,505.5,615.5,542.5,583.33,587.17,630.17,558.67,572.17,,545.5,564.5,503.5,,527.17,603.0
2024-01-01 13:00,460.83,326.83,442.5,509.83,446.33,540.67,471.5,513.33,521.33,556.5,485.83,470.0,,468.5,484.17,443.67,,455.0,537.5
2024-01-01 14:00,332.5,198.0,316.83,385.17,331.83,407.33,339.0,300.17,387.83,424.17,354.5,292.17,,345.17,354.33,311.0,,327.17,395.67
2024-01-01 15:00,171.83,129.67,166.0,217.33,174.33,229.83,151.0,191.17,213.17,221.83,191.17,166.83,191.67,181.83,187.33,159.0,,157.83,217.83
2024-01-01 16:00,27.17,29.33,21.83,45.5,32.67,52.0,17.67,44.67,47.17,25.5,25.5,36.83,47.33,42.33,34.83,22.17,,15.17,48.67
2024-01-01 17:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2024-01-01 18:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2024-01-01 19:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2024-01-01 20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2024-01-01 21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2024-01-01 22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2024-01-01 23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2024-01-02 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2024-01-02 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2024-01-02 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2024-01-02 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2024-01-02 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2024-01-02 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2024-01-02 06:00,0.33,0.67,0.5,4.33,1.17,1.83,0.67,0.83,0.0,2.0,0.33,0.17,0.17,1.0,2.67,1.67,,0.67,1.0
2024-01-02 07:00,24.83,44.33,22.67,27.67,67.33,69.0,16.5,25.5,,92.0,34.0,13.5,6.67,17.0,15.33,48.83,,34.17,17.0
2024-01-02 08:00,198.5,245.17,118.5,126.5,101.5,219.33,66.17,188.83,296.0,258.17,164.5,173.0,72.83,36.0,80.17,145.17,,168.0,112.5
2024-01-02 09:00,329.17,298.0,204.67,191.0,228.5,376.17,249.33,371.0,396.0,411.67,327.0,398.33,125.0,87.5,187.83,269.67,,360.67,356.5
2024-01-02 10:00,387.0,294.0,404.5,216.67,426.83,515.83,461.17,520.0,522.33,543.83,439.67,511.0,,502.67,226.5,328.83,,413.83,538.83
2024-01-02 11:00,344.33,524.83,143.67,521.83,491.0,580.5,537.67,315.0,593.5,606.17,476.67,577.33,,563.67,534.0,476.17,,508.0,590.33
2024-01-02 12:00,522.67,594.83,400.33,582.17,492.67,583.0,407.67,165.5,564.83,608.0,515.17,453.67,,561.17,525.17,479.83,,516.17,604.67
2024-01-02 13:00,462.67,462.5,438.33,432.83,352.83,507.67,382.83,335.33,323.17,526.67,520.67,89.0,,495.33,468.0,426.83,,427.83,224.0
2024-01-02 14:00,339.5,221.83,227.67,396.17,268.17,390.17,328.0,257.5,171.0,358.67,300.67,168.5,,377.33,371.5,168.33,,119.17,124.5
2024-01-02 15:00,163.0,120.67,56.0,168.0,141.0,207.5,154.5,116.0,106.67,165.67,211.5,52.5,87.0,188.67,190.83,62.0,,131.33,142.17
2024-01-02 16:00,34.83,11.5,15.33,26.33,33.33,25.33,20.33,42.17,11.67,27.0,46.33,28.5,22.17,38.33,12.67,17.33,,15.17,30.17
2024-01-02 17:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.0,0.0,,0.0,0.0
2024-01-02 18:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2024-01-02 19:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2024-01-02 20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2024-01-02 21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2024-01-02 22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2024-01-02 23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2024-01-03 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2024-01-03 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2024-01-03 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,,0.0,0.0
