date,station,sst
2026-08-23,Tel_Aviv_IL,29.53
2026-08-24,Ashdod_IL,30.3
2026-08-24,Ashkelon_IL,30.29
2026-08-24,Bardawil_off,30.42
2026-08-24,Damietta_mouth,30.0
2026-08-24,El_Arish_EG,30.46
2026-08-24,Gaza_City,30.43
2026-08-24,Hadera_IL,29.95
2026-08-24,Haifa_IL,29.94
2026-08-24,Nahariya_IL,29.94
2026-08-24,Open_sea_ref,28.96
2026-08-24,Port_Said_EG,30.24
2026-08-24,Rafah_Gaza,30.4
2026-08-24,Rosetta_mouth,28.81
2026-08-24,Tel_Aviv_IL,30.29
2026-08-25,Ashdod_IL,30.11
2026-08-25,Ashkelon_IL,30.51
2026-08-25,Bardawil_off,30.1
2026-08-25,Damietta_mouth,29.66
2026-08-25,El_Arish_EG,30.35
2026-08-25,Gaza_City,30.62
2026-08-25,Hadera_IL,29.75
2026-08-25,Haifa_IL,29.7
2026-08-25,Nahariya_IL,29.91
2026-08-25,Open_sea_ref,28.99
2026-08-25,Port_Said_EG,29.68
2026-08-25,Rafah_Gaza,30.53
2026-08-25,Rosetta_mouth,28.41
2026-08-25,Tel_Aviv_IL,30.15
2026-08-26,Ashdod_IL,30.35
2026-08-26,Ashkelon_IL,30.74
2026-08-26,Bardawil_off,30.4
2026-08-26,Damietta_mouth,29.14
2026-08-26,El_Arish_EG,30.53
2026-08-26,Gaza_City,30.59
2026-08-26,Hadera_IL,29.99
2026-08-26,Haifa_IL,29.6
2026-08-26,Nahariya_IL,30.01
2026-08-26,Open_sea_ref,28.84
2026-08-26,Port_Said_EG,29.7
2026-08-26,Rafah_Gaza,30.97
2026-08-26,Rosetta_mouth,28.42
2026-08-26,Tel_Aviv_IL,30.28
2026-08-27,Ashdod_IL,30.36
2026-08-27,Ashkelon_IL,30.89
2026-08-27,Bardawil_off,30.31
2026-08-27,Damietta_mouth,28.95
2026-08-27,El_Arish_EG,30.81
2026-08-27,Gaza_City,30.33
2026-08-27,Hadera_IL,30.34
2026-08-27,Haifa_IL,30.37
2026-08-27,Nahariya_IL,30.36
2026-08-27,Open_sea_ref,29.42
2026-08-27,Port_Said_EG,30.12
2026-08-27,Rafah_Gaza,30.68
2026-08-27,Rosetta_mouth,28.98
2026-08-27,Tel_Aviv_IL,30.44
2026-08-28,Ashdod_IL,30.62
2026-08-28,Ashkelon_IL,30.54
2026-08-28,Bardawil_off,29.9
2026-08-28,Damietta_mouth,30.2
2026-08-28,El_Arish_EG,30.43
2026-08-28,Gaza_City,30.38
2026-08-28,Hadera_IL,30.08
2026-08-28,Haifa_IL,29.92
2026-08-28,Nahariya_IL,30.25
2026-08-28,Open_sea_ref,29.06
2026-08-28,Port_Said_EG,30.42
2026-08-28,Rafah_Gaza,30.55
2026-08-28,Rosetta_mouth,29.12
2026-08-28,Tel_Aviv_IL,30.56
2026-08-29,Ashdod_IL,30.61
2026-08-29,Ashkelon_IL,30.52
2026-08-29,Bardawil_off,30.35
2026-08-29,Damietta_mouth,29.79
2026-08-29,El_Arish_EG,30.41
2026-08-29,Gaza_City,30.47
2026-08-29,Hadera_IL,30.32
2026-08-29,Haifa_IL,30.06
2026-08-29,Nahariya_IL,29.43
2026-08-29,Open_sea_ref,29.22
2026-08-29,Port_Said_EG,30.52
2026-08-29,Rafah_Gaza,30.47
2026-08-29,Rosetta_mouth,28.99
2026-08-29,Tel_Aviv_IL,30.58
2026-08-30,Ashdod_IL,30.25
2026-08-30,Ashkelon_IL,30.26
2026-08-30,Bardawil_off,30.08
2026-08-30,Damietta_mouth,29.49
2026-08-30,El_Arish_EG,30.24
2026-08-30,Gaza_City,30.11
2026-08-30,Hadera_IL,30.25
2026-08-30,Haifa_IL,30.21
2026-08-30,Nahariya_IL,30.23
2026-08-30,Open_sea_ref,28.86
2026-08-30,Port_Said_EG,29.99
2026-08-30,Rafah_Gaza,30.27
2026-08-30,Rosetta_mouth,28.14
2026-08-30,Tel_Aviv_IL,30.31
2026-08-31,Ashdod_IL,29.6
2026-08-31,Ashkelon_IL,29.71
2026-08-31,Bardawil_off,29.66
2026-08-31,Damietta_mouth,29.17
2026-08-31,El_Arish_EG,29.34
2026-08-31,Gaza_City,29.85
2026-08-31,Hadera_IL,29.34
2026-08-31,Haifa_IL,29.43
2026-08-31,Nahariya_IL,29.55
2026-08-31,Open_sea_ref,28.67
2026-08-31,Port_Said_EG,29.3
2026-08-31,Rafah_Gaza,29.74
2026-08-31,Rosetta_mouth,28.31
2026-08-31,Tel_Aviv_IL,29.87
2026-09-01,Ashdod_IL,30.37
2026-09-01,Ashkelon_IL,30.51
2026-09-01,Bardawil_off,30.04
2026-09-01,Damietta_mouth,29.49
2026-09-01,El_Arish_EG,30.15
2026-09-01,Gaza_City,30.39
2026-09-01,Hadera_IL,29.56
2026-09-01,Haifa_IL,29.38
2026-09-01,Nahariya_IL,29.27
2026-09-01,Open_sea_ref,29.11
2026-09-01,Port_Said_EG,29.77
2026-09-01,Rafah_Gaza,30.25
2026-09-01,Rosetta_mouth,29.0
2026-09-01,Tel_Aviv_IL,30.34
2026-09-02,Ashdod_IL,30.31
